lat	lon	n_unique_classes	classes_present	mode_winner	overidden_crops
70.20833333333333	19.12499999999997	2	[1.0, 5.0]	1	temf_till
70.20833333333333	20.541666666666657	2	[1.0, 5.0]	1	temf_till
70.125	19.12499999999997	2	[1.0, 5.0]	1	temf_till
70.125	19.208333333333314	2	[1.0, 5.0]	1	temf_till
70.04166666666666	18.958333333333314	2	[1.0, 5.0]	1	temf_till
70.04166666666666	19.041666666666657	2	[1.0, 5.0]	1	temf_till
70.04166666666666	19.12499999999997	2	[1.0, 5.0]	1	temf_till
70.04166666666666	22.12499999999997	2	[1.0, 5.0]	1	temf_till
69.95833333333333	20.208333333333314	2	[1.0, 5.0]	1	temf_till
69.875	21.458333333333314	2	[1.0, 5.0]	1	temf_till
69.79166666666666	18.37499999999997	2	[1.0, 5.0]	1	temf_till
69.79166666666666	18.791666666666657	2	[1.0, 5.0]	1	temf_till
69.79166666666666	18.87499999999997	2	[1.0, 5.0]	1	temf_till
69.79166666666666	19.458333333333314	2	[1.0, 5.0]	1	temf_till
69.79166666666666	19.958333333333314	2	[1.0, 5.0]	1	temf_till
69.79166666666666	21.041666666666657	2	[1.0, 5.0]	1	temf_till
69.79166666666666	21.291666666666657	2	[1.0, 5.0]	1	temf_till
69.79166666666666	31.708333333333314	2	[1.0, 5.0]	1	temf_till
69.70833333333333	18.87499999999997	2	[1.0, 5.0]	1	temf_till
69.70833333333333	18.958333333333314	2	[1.0, 5.0]	1	temf_till
69.70833333333333	19.208333333333314	2	[1.0, 5.0]	1	temf_till
69.70833333333333	19.291666666666657	2	[1.0, 5.0]	1	temf_till
69.70833333333333	19.37499999999997	2	[1.0, 5.0]	1	temf_till
69.70833333333333	20.541666666666657	2	[1.0, 5.0]	1	temf_till
69.70833333333333	21.041666666666657	2	[1.0, 5.0]	1	temf_till
69.70833333333333	21.208333333333314	2	[1.0, 5.0]	1	temf_till
69.625	18.041666666666657	2	[1.0, 5.0]	1	temf_till
69.625	18.208333333333314	2	[1.0, 5.0]	1	temf_till
69.625	18.708333333333314	2	[1.0, 5.0]	1	temf_till
69.625	18.791666666666657	2	[1.0, 5.0]	1	temf_till
69.625	18.87499999999997	2	[1.0, 5.0]	1	temf_till
69.625	20.208333333333314	2	[1.0, 5.0]	1	temf_till
69.54166666666666	18.12499999999997	2	[1.0, 5.0]	1	temf_till
69.54166666666666	18.291666666666657	2	[1.0, 5.0]	1	temf_till
69.54166666666666	18.37499999999997	2	[1.0, 5.0]	1	temf_till
69.54166666666666	18.458333333333314	2	[1.0, 5.0]	1	temf_till
69.54166666666666	18.541666666666657	2	[1.0, 5.0]	1	temf_till
69.54166666666666	18.62499999999997	2	[1.0, 5.0]	1	temf_till
69.54166666666666	18.708333333333314	2	[1.0, 5.0]	1	temf_till
69.54166666666666	18.791666666666657	2	[1.0, 5.0]	1	temf_till
69.54166666666666	18.958333333333314	2	[1.0, 5.0]	1	temf_till
69.54166666666666	19.62499999999997	2	[1.0, 5.0]	1	temf_till
69.54166666666666	20.208333333333314	2	[1.0, 5.0]	1	temf_till
69.54166666666666	20.541666666666657	2	[1.0, 5.0]	1	temf_till
69.45833333333333	19.041666666666657	2	[1.0, 5.0]	1	temf_till
69.45833333333333	20.12499999999997	2	[1.0, 5.0]	1	temf_till
69.375	18.291666666666657	2	[1.0, 5.0]	1	temf_till
69.375	18.791666666666657	2	[1.0, 5.0]	1	temf_till
69.375	19.87499999999997	2	[1.0, 5.0]	1	temf_till
69.375	19.958333333333314	2	[1.0, 5.0]	1	temf_till
69.29166666666666	18.291666666666657	2	[1.0, 5.0]	1	temf_till
69.29166666666666	18.87499999999997	2	[1.0, 5.0]	1	temf_till
69.29166666666666	19.208333333333314	2	[1.0, 5.0]	1	temf_till
69.29166666666666	19.87499999999997	2	[1.0, 5.0]	1	temf_till
69.29166666666666	33.54166666666666	2	[1.0, 5.0]	1	temf_till
69.20833333333333	15.958333333333314	2	[1.0, 5.0]	1	temf_till
